Year	Team1Team	Team1Score	Team1Rank	Team1	Team2Team	Team2Score	Team2Rank2	team2	entry	RankDiff	ScoreDiff
2005	North Carolina	92	1	"North Carolina 92	Iowa State	65	9	 Iowa State 65	SECOND ROUND	
2008	UCLA	88	1	UCLA 88"	Western Kentucky	78	12	 Western Kentucky 78	REGIONAL SEMIFINALS	-11	14
2005	Washington	88	1	No. 1 Washington 88	Montana	77	16	No. 16 Montana 77	FIRST ROUND	-15	11
2005	Duke	57	1	No. 1 Duke 57	Delaware State	46	16	No. 16 Delaware State 46	FIRST ROUND	-15	11
2005	Illinois	67	1	No. 1 Illinois 67	Fairleigh Dickinson	55	16	No. 16 Fairleigh Dickinson 55	FIRST ROUND	-15	12
2005	North Carolina	96	1	No. 1 North Carolina 96	Oakland Mich.	68	16	No. 16 Oakland Mich. 68	FIRST ROUND	-15	28
2005	Kentucky	69	2	"Kentucky 69	Cincinnati	60	7	 Cincinnati 60	SECOND ROUND	
1999	Kentucky	58	3	Kentucky 58"	Miami (Ohio)	43	10	 Miami (Ohio) 43	REGIONAL SEMIFINALS	-8	26
2005	Connecticut	77	2	No. 2 Connecticut 77	Central Florida	71	15	No. 15 Central Florida 71	FIRST ROUND	-13	6
2005	Kentucky	72	2	No. 2 Kentucky 72	Eastern Kentucky	64	15	No. 15 Eastern Kentucky 64	FIRST ROUND	-13	8
2005	Wake Forest	70	2	No. 2 Wake Forest 70	Chattanooga	54	15	No. 15 Chattanooga 54	FIRST ROUND	-13	16
2005	Oklahoma State	63	2	No. 2 Oklahoma State 63	Southeastern Louisiana	50	15	No. 15 Southeastern Louisiana 50	FIRST ROUND	-13	13
2005	Arizona	79	3	"Arizona 79	Oklahoma State	78	2	 Oklahoma State 78	REGIONAL SEMIFINALS	
2007	Ohio State	78	1	Ohio State 78"	Xavier	71	9	 Xavier 71	SECOND ROUND	-6	8
2005	Arizona	85	3	"Arizona 85	UAB	63	11	 UAB 63	SECOND ROUND	
1995	Massachusetts	75	2	Massachusetts 75"	Stanford	53	10	 Stanford 53	SECOND ROUND	-7	32
2005	Gonzaga	74	3	No. 3 Gonzaga 74	Winthrop	64	14	No. 14 Winthrop 64	FIRST ROUND	-11	10
2005	Oklahoma	84	3	No. 3 Oklahoma 84	Niagara	67	14	No. 14 Niagara 67	FIRST ROUND	-11	17
2005	Arizona	66	3	No. 3 Arizona 66	Utah State	53	14	No. 14 Utah State 53	FIRST ROUND	-11	13
2005	Louisville	93	4	"Louisville 93	Washington	79	1	 Washington 79	REGIONAL SEMIFINALS	
2000	Florida	93	5	Florida 93"	Illinois	76	4	 Illinois 76	SECOND ROUND	0	17
2005	Louisville	76	4	"Louisville 76	Georgia Tech	54	5	 Georgia Tech 54	SECOND ROUND	
1996	Utah	73	4	Utah 73"	Iowa State	67	5	 Iowa State 67	SECOND ROUND	-1	9
2005	Florida	67	4	No. 4 Florida 67	Ohio	62	13	No. 13 Ohio 62	FIRST ROUND	-9	5
2005	Louisville	68	4	No. 4 Louisville 68	Louisiana-Lafayette	62	13	No. 13 Louisiana-Lafayette 62	FIRST ROUND	-9	6
2005	Boston College	85	4	No. 4 Boston College 85	Pennsylvania	65	13	No. 13 Pennsylvania 65	FIRST ROUND	-9	20
2005	Michigan State	94	5	"Michigan State 94	Kentucky	88	2	 Kentucky 88	REGIONAL FINALS	
1997	Arizona	84	4	Arizona 84"	Kentucky	79	1	 Kentucky 79	NATIONAL CHAMPIONSHIP	4	15
2005	Michigan State	78	5	"Michigan State 78	Duke	68	1	 Duke 68	REGIONAL SEMIFINALS	
1990	Michigan State	62	1	Michigan State 62"	UC Santa Barbara	58	9	 UC Santa Barbara 58	SECOND ROUND	-4	20
2005	Michigan State	89	5	No. 5 Michigan State 89	Old Dominion	81	12	No. 12 Old Dominion 81	FIRST ROUND	-7	8
2005	Villanova	55	5	No. 5 Villanova 55	New Mexico	47	12	No. 12 New Mexico 47	FIRST ROUND	-7	8
2005	Georgia Tech	80	5	No. 5 Georgia Tech 80	George Washington	68	12	No. 12 George Washington 68	FIRST ROUND	-7	12
2005	Texas Tech	71	6	"Texas Tech 71	Gonzaga	69	3	 Gonzaga 69	SECOND ROUND	
1991	Kansas	77	3	Kansas 77"	Pittsburgh	66	6	 Pittsburgh 66	SECOND ROUND	0	5
2005	Wisconsin	71	6	"Wisconsin 71	Bucknell	62	14	 Bucknell 62	SECOND ROUND	
2003	Marquette	101	3	Marquette 101"	Missouri	92	6	 Missouri 92	SECOND ROUND	0	-21
2005	Wisconsin	57	6	No. 6 Wisconsin 57	Northern Iowa	52	11	No. 11 Northern Iowa 52	FIRST ROUND	-5	5
2005	Texas Tech	78	6	No. 6 Texas Tech 78	UCLA	66	11	No. 11 UCLA 66	FIRST ROUND	-5	12
2005	Utah	60	6	No. 6 Utah 60	Texas-El Paso	54	11	No. 11 Texas-El Paso 54	FIRST ROUND	-5	6
2005	West Virginia	111	7	"West Virginia 111	Wake Forest	105	2	 Wake Forest 105	SECOND ROUND	
2001	Stanford	90	1	Stanford 90"	St. Joseph's	83	9	 St. Joseph's 83	SECOND ROUND	-2	28
2005	West Virginia	63	7	No. 7 West Virginia 63	Creighton	61	10	No. 10 Creighton 61	FIRST ROUND	-3	2
2005	Cincinnati	76	7	No. 7 Cincinnati 76	Iowa	64	10	No. 10 Iowa 64	FIRST ROUND	-3	12
2005	Southern Illinois	65	7	No. 7 Southern Illinois 65	Saint Mary's Calif.	56	10	No. 10 Saint Mary's Calif. 56	FIRST ROUND	-3	9
2005	West Virginia	65	7	"West Virginia 65	Texas Tech	60	6	 Texas Tech 60	REGIONAL SEMIFINALS	
1996	Massachusetts	79	1	Massachusetts 79"	Arkansas	63	12	 Arkansas 63	REGIONAL SEMIFINALS	-5	2
2005	Pacific	79	8	No. 8 Pacific 79	Pittsburgh	71	9	No. 9 Pittsburgh 71	FIRST ROUND	-1	8
2005	Mississippi State	93	9	No. 9 Mississippi State 93	Stanford	70	8	No. 8 Stanford 70	FIRST ROUND	1	23
2005	Nevada	61	9	No. 9 Nevada 61	Texas	57	8	No. 8 Texas 57	FIRST ROUND	1	4
2005	Iowa State	64	9	No. 9 Iowa State 64	Minnesota	53	8	No. 8 Minnesota 53	FIRST ROUND	1	11
2005	North Carolina State	65	10	"North Carolina State 65	Connecticut	62	2	 Connecticut 62	SECOND ROUND	
1985	Georgetown	77	1	Georgetown 77"	St. John's	59	1	 St. John's 59	NATIONAL SEMIFINALS	9	6
2005	North Carolina State	75	10	No. 10 North Carolina State 75	Charlotte	63	7	No. 7 Charlotte 63	FIRST ROUND	3	12
2005	UAB	82	11	No. 11 UAB 82	LSU	68	6	No. 6 LSU 68	FIRST ROUND	5	14
2005	Wisconsin-Milwaukee	83	12	No. 12 Wisconsin-Milwaukee 83	Alabama	73	5	No. 5 Alabama 73	FIRST ROUND	7	10
2005	Wisconsin-Milwaukee	83	12	"Wisconsin-Milwaukee 83	Boston College	75	4	 Boston College 75	SECOND ROUND	
1981	Virginia	74	1	Virginia 74"	Brigham Young	60	6	 Brigham Young 60	REGIONAL FINALS	6	23
2005	Vermont	60	13	No. 13 Vermont 60	Syracuse	57	4	No. 4 Syracuse 57	FIRST ROUND	9	3
2005	Bucknell	64	14	No. 14 Bucknell 64	Kansas	63	3	No. 3 Kansas 63	FIRST ROUND	11	1
2006	Duke	74	1	"Duke 74	George Washington	61	8	 George Washington 61	SECOND ROUND	
1989	Georgetown	69	1	Georgetown 69"	North Carolina State	61	5	 North Carolina State 61	REGIONAL SEMIFINALS	-4	13
2006	Villanova	60	1	"Villanova 60	Boston College	59	4	 Boston College 59	REGIONAL SEMIFINALS	
1996	Wake Forest	60	2	Wake Forest 60"	Louisville	59	6	 Louisville 59	REGIONAL SEMIFINALS	-5	1
2006	Connecticut	98	1	"Connecticut 98	Washington	92	5	 Washington 92	REGIONAL SEMIFINALS	
2006	Memphis	80	1	Memphis 80"	Bradley	64	13	 Bradley 64	REGIONAL SEMIFINALS	-12	34
2006	Memphis	94	1	No. 1 Memphis 94	Oral Roberts	78	16	No. 16 Oral Roberts 78	FIRST ROUND	-15	16
2006	Connecticut	72	1	No. 1 Connecticut 72	Albany N.Y.	59	16	No. 16 Albany N.Y. 59	FIRST ROUND	-15	13
2006	Duke	70	1	No. 1 Duke 70	Southern University	54	16	No. 16 Southern University 54	FIRST ROUND	-15	16
2006	Villanova	58	1	No. 1 Villanova 58	Monmouth N.J.	45	16	No. 16 Monmouth N.J. 45	FIRST ROUND	-15	13
2006	Texas	74	2	"Texas 74	West Virginia	71	6	 West Virginia 71	REGIONAL SEMIFINALS	
1986	Kentucky	68	1	Kentucky 68"	Alabama	63	5	 Alabama 63	REGIONAL SEMIFINALS	-3	11
2006	UCLA	50	2	"UCLA 50	Memphis	45	1	 Memphis 45	REGIONAL FINALS	
2000	Syracuse	52	4	Syracuse 52"	Kentucky	50	5	 Kentucky 50	SECOND ROUND	-3	0
2006	Texas	60	2	No. 2 Texas 60	Pennsylvania	52	15	No. 15 Pennsylvania 52	FIRST ROUND	-13	8
2006	Tennessee	63	2	No. 2 Tennessee 63	Winthrop	61	15	No. 15 Winthrop 61	FIRST ROUND	-13	2
2006	Ohio State	70	2	No. 2 Ohio State 70	Davidson	62	15	No. 15 Davidson 62	FIRST ROUND	-13	8
2006	UCLA	78	2	No. 2 UCLA 78	Belmont	44	15	No. 15 Belmont 44	FIRST ROUND	-13	34
2006	Florida	75	3	"Florida 75	Villanova	62	1	 Villanova 62	REGIONAL FINALS	
2012	Syracuse	64	1	Syracuse 64"	Wisconsin	63	4	 Wisconsin 63	REGIONAL SEMIFINALS	-1	12
2006	Florida	57	3	"Florida 57	Georgetown	53	7	 Georgetown 53	REGIONAL SEMIFINALS	
2000	Iowa State	79	2	Iowa State 79"	Auburn	60	7	 Auburn 60	SECOND ROUND	-4	-3
2006	Florida	73	3	"Florida 73	George Mason	58	11	 George Mason 58	NATIONAL SEMIFINALS	
1986	Louisville	88	2	Louisville 88"	Louisiana State	77	11	 Louisiana State 77	NATIONAL SEMIFINALS	-8	-4
2006	Gonzaga	79	3	No. 3 Gonzaga 79	Xavier	75	14	No. 14 Xavier 75	FIRST ROUND	-11	4
2006	Florida	76	3	No. 3 Florida 76	South Alabama	50	14	No. 14 South Alabama 50	FIRST ROUND	-11	26
2006	North Carolina	69	3	No. 3 North Carolina 69	Murray State	65	14	No. 14 Murray State 65	FIRST ROUND	-11	4
2006	Boston College	69	4	"Boston College 69	Montana	56	12	 Montana 56	SECOND ROUND	
1985	North Carolina	62	2	North Carolina 62"	Auburn	56	11	 Auburn 56	REGIONAL SEMIFINALS	-7	13
2006	LSU	70	4	"LSU 70	Texas	60	2	 Texas 60	REGIONAL FINALS	
1994	Syracuse	64	4	Syracuse 64"	Wisconsin-Green Bay	59	12	 Wisconsin-Green Bay 59	SECOND ROUND	-8	11
2006	Illinois	78	4	No. 4 Illinois 78	Air Force	69	13	No. 13 Air Force 69	FIRST ROUND	-9	9
2006	Boston College	88	4	No. 4 Boston College 88	Pacific	76	13	No. 13 Pacific 76	FIRST ROUND	-9	12
2006	LSU	80	4	No. 4 LSU 80	Iona	64	13	No. 13 Iona 64	FIRST ROUND	-9	16
2006	Washington	75	5	No. 5 Washington 75	Utah State	61	12	No. 12 Utah State 61	FIRST ROUND	-7	14
2006	Pittsburgh	79	5	No. 5 Pittsburgh 79	Kent State	64	12	No. 12 Kent State 64	FIRST ROUND	-7	15
2006	West Virginia	67	6	"West Virginia 67	Northwestern State	54	14	 Northwestern State 54	SECOND ROUND	
1980	UCLA	67	8	UCLA 67"	Purdue	62	6	 Purdue 62	NATIONAL SEMIFINALS	0	5
2006	West Virginia	64	6	No. 6 West Virginia 64	Southern Illinois	46	11	No. 11 Southern Illinois 46	FIRST ROUND	-5	18
2006	Indiana	87	6	No. 6 Indiana 87	San Diego State	83	11	No. 11 San Diego State 83	FIRST ROUND	-5	4
2006	Georgetown	54	7	No. 7 Georgetown 54	Northern Iowa	49	10	No. 10 Northern Iowa 49	FIRST ROUND	-3	5
2006	Wichita State	86	7	No. 7 Wichita State 86	Seton Hall	66	10	No. 10 Seton Hall 66	FIRST ROUND	-3	20
2006	Kentucky	69	8	No. 8 Kentucky 69	UAB	64	9	No. 9 UAB 64	FIRST ROUND	-1	5
2006	George Washington	88	8	No. 8 George Washington 88	NC-Wilmington	85	9	No. 9 NC-Wilmington 85	FIRST ROUND	-1	3
2006	Arizona	94	8	No. 8 Arizona 94	Wisconsin	75	9	No. 9 Wisconsin 75	FIRST ROUND	-1	19
2006	Bucknell	59	9	No. 9 Bucknell 59	Arkansas	55	8	No. 8 Arkansas 55	FIRST ROUND	1	4
2006	Alabama	90	10	No. 10 Alabama 90	Marquette	85	7	No. 7 Marquette 85	FIRST ROUND	3	5
2006	N.C. State	58	10	No. 10 N.C. State 58	California	52	7	No. 7 California 52	FIRST ROUND	3	6
2006	George Mason	86	11	"George Mason 86	Connecticut	84	1	 Connecticut 84	REGIONAL FINALS	
2012	Kentucky	67	1	Kentucky 67"	Kansas	59	2	 Kansas 59	NATIONAL CHAMPIONSHIP	9	27
2006	George Mason	75	11	No. 11 George Mason 75	Michigan State	65	6	No. 6 Michigan State 65	FIRST ROUND	5	10
2006	Wisconsin-Milwaukee	82	11	No. 11 Wisconsin-Milwaukee 82	Oklahoma	74	6	No. 6 Oklahoma 74	FIRST ROUND	5	8
2006	Texas A&M	66	12	No. 12 Texas A&M 66	Syracuse	58	5	No. 5 Syracuse 58	FIRST ROUND	7	8
2006	Montana	87	12	No. 12 Montana 87	Nevada	79	5	No. 5 Nevada 79	FIRST ROUND	7	8
2006	Bradley	77	13	No. 13 Bradley 77	Kansas	73	4	No. 4 Kansas 73	FIRST ROUND	9	4
2006	Northwestern State	64	14	No. 14 Northwestern State 64	Iowa	63	3	No. 3 Iowa 63	FIRST ROUND	11	1
2007	Ohio State	85	1	"Ohio State 85	Tennessee	84	5	 Tennessee 84	REGIONAL SEMIFINALS	
1998	Kentucky	86	2	Kentucky 86"	Duke	84	1	 Duke 84	REGIONAL FINALS	0	1
2007	Florida	84	1	"Florida 84	Ohio State	75	1	 Ohio State 75	NATIONAL CHAMPIONSHIP	
1998	Utah	65	3	Utah 65"	North Carolina	59	1	 North Carolina 59	NATIONAL SEMIFINALS	0	25
2007	North Carolina	81	1	"North Carolina 81	Michigan State	67	9	 Michigan State 67	SECOND ROUND	
2005	North Carolina	88	1	North Carolina 88"	Wisconsin	82	6	 Wisconsin 82	REGIONAL FINALS	-5	-1
2007	Florida	74	1	"Florida 74	Purdue	67	9	 Purdue 67	SECOND ROUND	
2009	Missouri	83	3	Missouri 83"	Marquette	79	6	 Marquette 79	SECOND ROUND	-5	-5
2007	Florida	76	1	"Florida 76	UCLA	66	2	 UCLA 66	NATIONAL SEMIFINALS	
2007	Kansas	88	1	Kansas 88"	Kentucky	76	8	 Kentucky 76	SECOND ROUND	-7	0
2007	Kansas	61	1	"Kansas 61	Southern Illinois	58	4	 Southern Illinois 58	REGIONAL SEMIFINALS	
2003	Kansas	108	2	Kansas 108"	Arizona St.	76	10	 Arizona St. 76	SECOND ROUND	-9	-15
2007	Florida	65	1	"Florida 65	Butler	57	5	 Butler 57	REGIONAL SEMIFINALS	
2002	Illinois	72	4	Illinois 72"	Creighton	60	12	 Creighton 60	SECOND ROUND	-11	5
2007	Florida	85	1	"Florida 85	Oregon	77	3	 Oregon 77	REGIONAL FINALS	
1985	Maryland	64	5	Maryland 64"	Navy	59	13	 Navy 59	SECOND ROUND	-12	26
2007	Ohio State	78	1	No. 1 Ohio State 78	C. Connecticut State	57	16	No. 16 C. Connecticut State 57	FIRST ROUND	-15	21
2007	Florida	112	1	No. 1 Florida 112	Jackson State	69	16	No. 16 Jackson State 69	FIRST ROUND	-15	43
2007	Kansas	107	1	No. 1 Kansas 107	Niagara	67	16	No. 16 Niagara 67	FIRST ROUND	-15	40
2007	North Carolina	86	1	No. 1 North Carolina 86	Eastern Kentucky	65	16	No. 16 Eastern Kentucky 65	FIRST ROUND	-15	21
2007	Georgetown	66	2	"Georgetown 66	Vanderbilt	65	6	 Vanderbilt 65	REGIONAL SEMIFINALS	
1989	Michigan	83	3	Michigan 83"	Illinois	81	1	 Illinois 81	NATIONAL SEMIFINALS	1	-15
2007	UCLA	64	2	"UCLA 64	Pittsburgh	55	3	 Pittsburgh 55	REGIONAL SEMIFINALS	
1981	Indiana	63	3	Indiana 63"	North Carolina	50	2	 North Carolina 50	NATIONAL CHAMPIONSHIP	0	14
2007	Georgetown	62	2	"Georgetown 62	Boston College	55	7	 Boston College 55	SECOND ROUND	
2008	Davidson	74	10	Davidson 74"	Georgetown	70	2	 Georgetown 70	SECOND ROUND	0	-8
2007	UCLA	68	2	"UCLA 68	Kansas	55	1	 Kansas 55	REGIONAL FINALS	
2003	Connecticut	85	5	Connecticut 85"	Stanford	74	4	 Stanford 74	SECOND ROUND	-2	-6
2007	Memphis	65	2	"Memphis 65	Texas A&M;	64	3	 Texas A&M; 64	REGIONAL SEMIFINALS	
2004	Georgia Tech	79	3	Georgia Tech 79"	Kansas	71	4	 Kansas 71	REGIONAL FINALS	-2	-6
2007	UCLA	54	2	"UCLA 54	Indiana	49	7	 Indiana 49	SECOND ROUND	
1997	North Carolina	97	1	North Carolina 97"	Louisville	74	6	 Louisville 74	REGIONAL FINALS	-4	-20
2007	Georgetown	96	2	"Georgetown 96	North Carolina	84	1	 North Carolina 84	REGIONAL FINALS	
2010	Kentucky	62	1	Kentucky 62"	Cornell	45	12	 Cornell 45	REGIONAL SEMIFINALS	-10	51
2007	Memphis	73	2	No. 2 Memphis 73	North Texas	58	15	No. 15 North Texas 58	FIRST ROUND	-13	15
2007	Wisconsin	76	2	No. 2 Wisconsin 76	Texas A&am;M-Corpus Christi	63	15	No. 15 Texas A&am;M-Corpus Christi 63	FIRST ROUND	-13	13
2007	UCLA	70	2	No. 2 UCLA 70	Weber State	42	15	No. 15 Weber State 42	FIRST ROUND	-13	28
2007	Georgetown	80	2	No. 2 Georgetown 80	Belmont	55	15	No. 15 Belmont 55	FIRST ROUND	-13	25
2007	Pittsburgh	84	3	"Pittsburgh 84	Virginia Commonwealth	79	11	 Virginia Commonwealth 79	SECOND ROUND	
1983	Georgia	82	4	Georgia 82"	North Carolina	77	2	 North Carolina 77	REGIONAL FINALS	1	7
2007	Texas A&M;	72	3	"Texas A&M; 72	Louisville	69	6	 Louisville 69	SECOND ROUND	
2001	Arizona	66	2	Arizona 66"	Mississippi	56	3	 Mississippi 56	REGIONAL SEMIFINALS	0	16
2007	Oregon	76	3	"Oregon 76	UNLV	72	7	 UNLV 72	REGIONAL SEMIFINALS	
1989	North Carolina	88	2	North Carolina 88"	UCLA	81	7	 UCLA 81	SECOND ROUND	-4	-5
2007	Oregon	75	3	"Oregon 75	Winthrop	61	11	 Winthrop 61	SECOND ROUND	
2009	Arizona	71	12	Arizona 71"	Cleveland State	57	13	 Cleveland State 57	SECOND ROUND	-10	18
2007	Washington State	70	3	No. 3 Washington State 70	Oral Roberts	54	14	No. 14 Oral Roberts 54	FIRST ROUND	-11	16
2007	Texas A&M;	68	3	No. 3 Texas A&M; 68	Pennsylvania	52	14	No. 14 Pennsylvania 52	FIRST ROUND	-11	16
2007	Oregon	58	3	No. 3 Oregon 58	Miami (Ohio)	56	14	No. 14 Miami (Ohio) 56	FIRST ROUND	-11	2
2007	Pittsburgh	79	3	No. 3 Pittsburgh 79	Wright State	58	14	No. 14 Wright State 58	FIRST ROUND	-11	21
2007	Southern Illinois	63	4	"Southern Illinois 63	Virginia Tech	48	5	 Virginia Tech 48	SECOND ROUND	
2000	North Carolina	74	8	North Carolina 74"	Tennessee	69	4	 Tennessee 69	REGIONAL SEMIFINALS	0	-6
2007	Texas	79	4	No. 4 Texas 79	New Mexico State	67	13	No. 13 New Mexico State 67	FIRST ROUND	-9	12
2007	Maryland	82	4	No. 4 Maryland 82	Davidson	70	13	No. 13 Davidson 70	FIRST ROUND	-9	12
2007	Virginia	84	4	No. 4 Virginia 84	Albany	57	13	No. 13 Albany 57	FIRST ROUND	-9	27
2007	Southern Illinois	61	4	No. 4 Southern Illinois 61	Holy Cross	51	13	No. 13 Holy Cross 51	FIRST ROUND	-9	10
2007	Southern California	87	5	"Southern California 87	Texas	68	4	 Texas 68	SECOND ROUND	
2002	Kent St.	71	10	Kent St. 71"	Alabama	58	2	 Alabama 58	SECOND ROUND	3	29
2007	Butler	62	5	"Butler 62	Maryland	59	4	 Maryland 59	SECOND ROUND	
1979	DePaul	96	2	DePaul 96"	Penn	93	9	 Penn 93	NATIONAL THIRD PLACE	-4	-31
2007	Tennessee	121	5	No. 5 Tennessee 121	Long Beach State	86	12	No. 12 Long Beach State 86	FIRST ROUND	-7	35
2007	Southern California	77	5	No. 5 Southern California 77	Arkansas	60	12	No. 12 Arkansas 60	FIRST ROUND	-7	17
2007	Butler	57	5	No. 5 Butler 57	Old Dominion	46	12	No. 12 Old Dominion 46	FIRST ROUND	-7	11
2007	Virginia Tech	54	5	No. 5 Virginia Tech 54	Illinois	52	12	No. 12 Illinois 52	FIRST ROUND	-7	2
2007	Louisville	78	6	No. 6 Louisville 78	Stanford	58	11	No. 11 Stanford 58	FIRST ROUND	-5	20
2007	Vanderbilt	77	6	No. 6 Vanderbilt 77	George Washington	44	11	No. 11 George Washington 44	FIRST ROUND	-5	33
2007	UNLV	67	7	No. 7 UNLV 67	Georgia Tech	63	10	No. 10 Georgia Tech 63	FIRST ROUND	-3	4
2007	Boston College	84	7	No. 7 Boston College 84	Texas Tech	75	10	No. 10 Texas Tech 75	FIRST ROUND	-3	9
2007	Indiana	70	7	No. 7 Indiana 70	Gonzaga	57	10	No. 10 Gonzaga 57	FIRST ROUND	-3	13
2007	Nevada	77	7	No. 7 Nevada 77	Creighton	71	10	No. 10 Creighton 71	FIRST ROUND	-3	6
2007	Kentucky	67	8	No. 8 Kentucky 67	Villanova	58	9	No. 9 Villanova 58	FIRST ROUND	-1	9
2007	Xavier	79	9	No. 9 Xavier 79	Brigham Young	77	8	No. 8 Brigham Young 77	FIRST ROUND	1	2
2007	Michigan State	61	9	No. 9 Michigan State 61	Marquette	49	8	No. 8 Marquette 49	FIRST ROUND	1	12
2007	Purdue	72	9	No. 9 Purdue 72	Arizona	63	8	No. 8 Arizona 63	FIRST ROUND	1	9
2007	Winthrop	74	11	No. 11 Winthrop 74	Notre Dame	64	6	No. 6 Notre Dame 64	FIRST ROUND	5	10
2007	Virginia Commonwealth	79	11	No. 11 Virginia Commonwealth 79	Duke	77	6	No. 6 Duke 77	FIRST ROUND	5	2
2007	Niagara	77	16	"Niagara 77	Florida A&M	69	NA	 Florida A&M 69	OPENING ROUND	
2002	UCLA	105	8	UCLA 105"	Cincinnati	101	1	 Cincinnati 101	SECOND ROUND	15	-24
2008	Kansas	75	1	"Kansas 75	UNLV	56	8	 UNLV 56	SECOND ROUND	
1980	Purdue	76	6	Purdue 76"	Indiana	69	2	 Indiana 69	REGIONAL SEMIFINALS	-1	6
2008	Kansas	59	1	"Kansas 59	Davidson	57	10	 Davidson 57	REGIONAL FINALS	
2007	UNLV	74	7	UNLV 74"	Wisconsin	68	2	 Wisconsin 68	SECOND ROUND	-1	-9
2008	Memphis	85	1	"Memphis 85	Texas	67	2	 Texas 67	REGIONAL FINALS	
1995	North Carolina	74	2	North Carolina 74"	Georgetown	64	6	 Georgetown 64	REGIONAL SEMIFINALS	-5	21
2008	North Carolina	108	1	"North Carolina 108	Arkansas	77	9	 Arkansas 77	SECOND ROUND	
1982	Houston	99	6	Houston 99"	Boston College	92	8	 Boston College 92	REGIONAL FINALS	-7	16
2008	Memphis	77	1	"Memphis 77	Mississippi State	74	8	 Mississippi State 74	SECOND ROUND	
1987	Indiana	77	1	Indiana 77"	Louisiana State	76	10	 Louisiana State 76	REGIONAL FINALS	-9	1
2008	Memphis	87	1	No. 1 Memphis 87	Texas-Arlington	63	16	No. 16 Texas-Arlington 63	FIRST ROUND	-15	24
2008	UCLA	70	1	No. 1 UCLA 70	Mississippi Valley State	29	16	No. 16 Mississippi Valley State 29	FIRST ROUND	-15	41
2008	North Carolina	113	1	No. 1 North Carolina 113	Mount St. Mary's Md.	74	16	No. 16 Mount St. Mary's Md. 74	FIRST ROUND	-15	39
2008	Kansas	85	1	No. 1 Kansas 85	Portland State	61	16	No. 16 Portland State 61	FIRST ROUND	-15	24
2008	Tennessee	76	2	"Tennessee 76	Butler	71	7	 Butler 71	SECOND ROUND	
2011	Kentucky	62	4	Kentucky 62"	Ohio State	60	1	 Ohio State 60	REGIONAL SEMIFINALS	1	16
2008	Texas	75	2	"Texas 75	Miami	72	NA	 Miami 72	SECOND ROUND	
2004	Oklahoma St.	64	2	Oklahoma St. 64"	St. Joseph's	62	1	 St. Joseph's 62	REGIONAL FINALS	1	13
2008	Texas	82	2	"Texas 82	Stanford	62	3	 Stanford 62	REGIONAL SEMIFINALS	
2009	Syracuse	78	3	Syracuse 78"	Arizona State	67	6	 Arizona State 67	SECOND ROUND	-4	15
2008	Duke	71	2	No. 2 Duke 71	Belmont	70	15	No. 15 Belmont 70	FIRST ROUND	-13	1
2008	Georgetown	66	2	No. 2 Georgetown 66	Maryland-Baltimore County	47	15	No. 15 Maryland-Baltimore County 47	FIRST ROUND	-13	19
2008	Tennessee	72	2	No. 2 Tennessee 72	American	57	15	No. 15 American 57	FIRST ROUND	-13	15
2008	Texas	74	2	No. 2 Texas 74	Austin Peay	54	15	No. 15 Austin Peay 54	FIRST ROUND	-13	20
2008	Stanford	82	3	"Stanford 82	Marquette	81	6	 Marquette 81	SECOND ROUND	
1986	Navy	97	7	Navy 97"	Syracuse	85	2	 Syracuse 85	SECOND ROUND	1	-3
2008	Xavier	85	3	"Xavier 85	Purdue	78	6	 Purdue 78	SECOND ROUND	
2009	Oklahoma	84	2	Oklahoma 84"	Syracuse	71	3	 Syracuse 71	REGIONAL SEMIFINALS	0	14
2008	Xavier	79	3	"Xavier 79	West Virginia	75	7	 West Virginia 75	REGIONAL SEMIFINALS	
1981	Virginia	62	1	Virginia 62"	Tennessee	48	4	 Tennessee 48	REGIONAL SEMIFINALS	-1	31
2008	Louisville	79	3	"Louisville 79	Tennessee	60	2	 Tennessee 60	REGIONAL SEMIFINALS	
2002	Maryland	78	1	Maryland 78"	Kentucky	68	4	 Kentucky 68	REGIONAL SEMIFINALS	-1	11
2008	Louisville	79	3	No. 3 Louisville 79	Boise State	61	14	No. 14 Boise State 61	FIRST ROUND	-11	18
2008	Stanford	77	3	No. 3 Stanford 77	Cornell	53	14	No. 14 Cornell 53	FIRST ROUND	-11	24
2008	Xavier	73	3	No. 3 Xavier 73	Georgia	61	14	No. 14 Georgia 61	FIRST ROUND	-11	12
2008	Wisconsin	71	3	No. 3 Wisconsin 71	Cal State Fullerton	56	14	No. 14 Cal State Fullerton 56	FIRST ROUND	-11	15
2008	Washington State	71	4	No. 4 Washington State 71	Winthrop	40	13	No. 13 Winthrop 40	FIRST ROUND	-9	31
2008	Pittsburgh	82	4	No. 4 Pittsburgh 82	Oral Roberts	63	13	No. 13 Oral Roberts 63	FIRST ROUND	-9	19
2008	Michigan State	72	5	No. 5 Michigan State 72	Temple	61	12	No. 12 Temple 61	FIRST ROUND	-7	11
2008	Notre Dame	68	5	No. 5 Notre Dame 68	George Mason	50	12	No. 12 George Mason 50	FIRST ROUND	-7	18
2008	Marquette	74	6	No. 6 Marquette 74	Kentucky	66	11	No. 11 Kentucky 66	FIRST ROUND	-5	8
2008	Oklahoma	72	6	No. 6 Oklahoma 72	Saint Joseph's	64	11	No. 11 Saint Joseph's 64	FIRST ROUND	-5	8
