Year	Team1Team	Team1Score	Team1Rank	Team1	Team2Team	Team2Score	Team2Rank2	team2	entry	RankDiff	ScoreDiff
1984	Kentucky	93	1	No. 1 Kentucky 93	Brigham Young	68	8	No. 8 Brigham Young 68	SECOND ROUND	-7	25
1984	North Carolina	77	1	No. 1 North Carolina 77	Temple	66	8	No. 8 Temple 66	SECOND ROUND	-7	11
1984	Georgetown	37	1	No. 1 Georgetown 37	Southern Methodist	36	9	No. 9 Southern Methodist 36	SECOND ROUND	-8	1
1984	Houston	78	2	"Houston 78	Memphis State	71	6	 Memphis State 71	REGIONAL SEMIFINALS	
2006	Washington	67	5	Washington 67"	Illinois	64	4	 Illinois 64	SECOND ROUND	-2	14
1984	Illinois	64	2	No. 2 Illinois 64	Villanova	56	7	No. 7 Villanova 56	SECOND ROUND	-5	8
1984	Houston	77	2	No. 2 Houston 77	Louisiana Tech	69	10	No. 10 Louisiana Tech 69	SECOND ROUND	-8	8
1984	Syracuse	78	3	No. 3 Syracuse 78	Virginia Commonwealth	63	6	No. 6 Virginia Commonwealth 63	SECOND ROUND	-3	15
1984	Maryland	102	3	No. 3 Maryland 102	West Virginia	77	11	No. 11 West Virginia 77	SECOND ROUND	-8	25
1984	Wake Forest	69	4	No. 4 Wake Forest 69	Kansas	59	5	No. 5 Kansas 59	SECOND ROUND	-1	10
1984	Indiana	72	4	"Indiana 72	North Carolina	68	1	 North Carolina 68	REGIONAL SEMIFINALS	
1994	Louisville	60	3	Louisville 60"	Minnesota	55	6	 Minnesota 55	SECOND ROUND	-2	17
1984	Indiana	75	4	No. 4 Indiana 75	Richmond	67	12	No. 12 Richmond 67	SECOND ROUND	-8	8
1984	Louisville	69	5	No. 5 Louisville 69	Tulsa	67	4	No. 4 Tulsa 67	SECOND ROUND	1	2
1984	UNLV	73	5	No. 5 UNLV 73	Texas-El Paso	60	4	No. 4 Texas-El Paso 60	SECOND ROUND	1	13
1984	Kansas	57	5	No. 5 Kansas 57	Alcorn State	56	12	No. 12 Alcorn State 56	FIRST ROUND	-7	1
1984	UNLV	68	5	No. 5 UNLV 68	Princeton	56	12	No. 12 Princeton 56	FIRST ROUND	-7	12
1984	Louisville	72	5	No. 5 Louisville 72	Morehead State	59	12	No. 12 Morehead State 59	FIRST ROUND	-7	13
1984	Washington	80	6	No. 6 Washington 80	Duke	78	3	No. 3 Duke 78	SECOND ROUND	3	2
1984	Memphis State	66	6	No. 6 Memphis State 66	Purdue	48	3	No. 3 Purdue 48	SECOND ROUND	3	18
1984	Memphis State	92	6	No. 6 Memphis State 92	Oral Roberts	83	11	No. 11 Oral Roberts 83	FIRST ROUND	-5	9
1984	Washington	64	6	No. 6 Washington 64	Nevada-Reno	54	11	No. 11 Nevada-Reno 54	FIRST ROUND	-5	10
